title,rating,votes,language,release_date,runtime,budget,revenue,type,number_of_seasons,number_of_episodes,genres,release_year
GoodFellas,8.455,13438,en,1990-09-12,145.0,25000000.0,46800000.0,movie,,,Crime,1990
Captain America: Civil War,7.4,23188,en,2016-04-27,147.0,250000000.0,1155046416.0,movie,,,Adventure,2016
Captain America: Civil War,7.4,23188,en,2016-04-27,147.0,250000000.0,1155046416.0,movie,,,Action,2016
Captain America: Civil War,7.4,23188,en,2016-04-27,147.0,250000000.0,1155046416.0,movie,,,Science Fiction,2016
Once Upon a Time... in Hollywood,7.428,13944,en,2019-07-24,162.0,95000000.0,392105159.0,movie,,,Comedy,2019
Once Upon a Time... in Hollywood,7.428,13944,en,2019-07-24,162.0,95000000.0,392105159.0,movie,,,Drama,2019
Once Upon a Time... in Hollywood,7.428,13944,en,2019-07-24,162.0,95000000.0,392105159.0,movie,,,Thriller,2019
Shutter Island,8.2,24599,en,2010-02-14,138.0,80000000.0,294804195.0,movie,,,Drama,2010
Shutter Island,8.2,24599,en,2010-02-14,138.0,80000000.0,294804195.0,movie,,,Thriller,2010
Shutter Island,8.2,24599,en,2010-02-14,138.0,80000000.0,294804195.0,movie,,,Mystery,2010
Gunslingers,6.3,60,en,2025-04-11,104.0,0.0,0.0,movie,,,Western,2025
Gunslingers,6.3,60,en,2025-04-11,104.0,0.0,0.0,movie,,,Action,2025
Trainwreck: The Astroworld Tragedy,6.4,34,en,2025-06-09,80.0,0.0,0.0,movie,,,Documentary,2025
Mad Max: Fury Road,7.623,23162,en,2015-05-13,121.0,150000000.0,378858340.0,movie,,,Action,2015
Mad Max: Fury Road,7.623,23162,en,2015-05-13,121.0,150000000.0,378858340.0,movie,,,Adventure,2015
Mad Max: Fury Road,7.623,23162,en,2015-05-13,121.0,150000000.0,378858340.0,movie,,,Science Fiction,2015
Fast & Furious Presents: Hobbs & Shaw,6.844,7407,en,2019-08-01,137.0,200000000.0,760098996.0,movie,,,Action,2019
Fast & Furious Presents: Hobbs & Shaw,6.844,7407,en,2019-08-01,137.0,200000000.0,760098996.0,movie,,,Adventure,2019
Fast & Furious Presents: Hobbs & Shaw,6.844,7407,en,2019-08-01,137.0,200000000.0,760098996.0,movie,,,Comedy,2019
Mission: Impossible - Ghost Protocol,7.099,10208,en,2011-12-07,133.0,145000000.0,694713380.0,movie,,,Action,2011
Mission: Impossible - Ghost Protocol,7.099,10208,en,2011-12-07,133.0,145000000.0,694713380.0,movie,,,Thriller,2011
Mission: Impossible - Ghost Protocol,7.099,10208,en,2011-12-07,133.0,145000000.0,694713380.0,movie,,,Adventure,2011
The Hunger Games: Mockingjay - Part 1,6.816,16129,en,2014-11-19,123.0,125000000.0,755356711.0,movie,,,Science Fiction,2014
The Hunger Games: Mockingjay - Part 1,6.816,16129,en,2014-11-19,123.0,125000000.0,755356711.0,movie,,,Adventure,2014
The Hunger Games: Mockingjay - Part 1,6.816,16129,en,2014-11-19,123.0,125000000.0,755356711.0,movie,,,Thriller,2014
The Colors Within,6.778,36,ja,2024-08-30,101.0,0.0,1470214.0,movie,,,Animation,2024
The Colors Within,6.778,36,ja,2024-08-30,101.0,0.0,1470214.0,movie,,,Drama,2024
The Colors Within,6.778,36,ja,2024-08-30,101.0,0.0,1470214.0,movie,,,Music,2024
Subservience,6.689,749,en,2024-08-15,105.0,4400000.0,262793.0,movie,,,Horror,2024
Subservience,6.689,749,en,2024-08-15,105.0,4400000.0,262793.0,movie,,,Science Fiction,2024
Subservience,6.689,749,en,2024-08-15,105.0,4400000.0,262793.0,movie,,,Thriller,2024
Batman Begins,7.714,21534,en,2005-06-10,140.0,150000000.0,374218673.0,movie,,,Action,2005
Batman Begins,7.714,21534,en,2005-06-10,140.0,150000000.0,374218673.0,movie,,,Crime,2005
Batman Begins,7.714,21534,en,2005-06-10,140.0,150000000.0,374218673.0,movie,,,Drama,2005
Sally,7.8,5,en,2025-01-28,103.0,0.0,0.0,movie,,,Documentary,2025
The Princess and the Frog,7.218,5803,en,2009-12-08,98.0,105000000.0,270997378.0,movie,,,Animation,2009
The Princess and the Frog,7.218,5803,en,2009-12-08,98.0,105000000.0,270997378.0,movie,,,Romance,2009
The Princess and the Frog,7.218,5803,en,2009-12-08,98.0,105000000.0,270997378.0,movie,,,Fantasy,2009
The Princess and the Frog,7.218,5803,en,2009-12-08,98.0,105000000.0,270997378.0,movie,,,Family,2009
Plane,6.9,2395,en,2023-01-12,107.0,25000000.0,74515586.0,movie,,,Action,2023
Plane,6.9,2395,en,2023-01-12,107.0,25000000.0,74515586.0,movie,,,Adventure,2023
Plane,6.9,2395,en,2023-01-12,107.0,25000000.0,74515586.0,movie,,,Thriller,2023
The Conjuring 2,7.292,8626,en,2016-06-08,134.0,40000000.0,322811702.0,movie,,,Horror,2016
The Crow,5.85,1077,en,2024-08-21,111.0,50000000.0,24109036.0,movie,,,Action,2024
The Crow,5.85,1077,en,2024-08-21,111.0,50000000.0,24109036.0,movie,,,Fantasy,2024
The Crow,5.85,1077,en,2024-08-21,111.0,50000000.0,24109036.0,movie,,,Horror,2024
Catch Me If You Can,7.977,16145,en,2002-12-16,141.0,52000000.0,352114312.0,movie,,,Drama,2002
Catch Me If You Can,7.977,16145,en,2002-12-16,141.0,52000000.0,352114312.0,movie,,,Crime,2002
Spider-Man 3,6.438,14501,en,2007-05-01,139.0,258000000.0,894983373.0,movie,,,Action,2007
Spider-Man 3,6.438,14501,en,2007-05-01,139.0,258000000.0,894983373.0,movie,,,Adventure,2007
Spider-Man 3,6.438,14501,en,2007-05-01,139.0,258000000.0,894983373.0,movie,,,Science Fiction,2007
Dangerous Animals,6.8,15,en,2025-06-05,98.0,0.0,5016634.0,movie,,,Horror,2025
Dangerous Animals,6.8,15,en,2025-06-05,98.0,0.0,5016634.0,movie,,,Thriller,2025
Arcadian,6.1,691,en,2024-04-12,92.0,0.0,1134275.0,movie,,,Action,2024
Arcadian,6.1,691,en,2024-04-12,92.0,0.0,1134275.0,movie,,,Horror,2024
Arcadian,6.1,691,en,2024-04-12,92.0,0.0,1134275.0,movie,,,Thriller,2024
Arcadian,6.1,691,en,2024-04-12,92.0,0.0,1134275.0,movie,,,Science Fiction,2024
Blink Twice,6.674,1507,en,2024-08-21,102.0,20000000.0,46393906.0,movie,,,Mystery,2024
Blink Twice,6.674,1507,en,2024-08-21,102.0,20000000.0,46393906.0,movie,,,Thriller,2024
Pacific Rim,6.909,12733,en,2013-07-11,131.0,180000000.0,411000000.0,movie,,,Action,2013
Pacific Rim,6.909,12733,en,2013-07-11,131.0,180000000.0,411000000.0,movie,,,Science Fiction,2013
Pacific Rim,6.909,12733,en,2013-07-11,131.0,180000000.0,411000000.0,movie,,,Adventure,2013
The Ministry of Ungentlemanly Warfare,7.083,1501,en,2024-04-18,120.0,60000000.0,29768915.0,movie,,,Action,2024
The Ministry of Ungentlemanly Warfare,7.083,1501,en,2024-04-18,120.0,60000000.0,29768915.0,movie,,,Comedy,2024
The Ministry of Ungentlemanly Warfare,7.083,1501,en,2024-04-18,120.0,60000000.0,29768915.0,movie,,,War,2024
Iron Man 3,6.929,22612,en,2013-04-18,130.0,200000000.0,1215577205.0,movie,,,Action,2013
Iron Man 3,6.929,22612,en,2013-04-18,130.0,200000000.0,1215577205.0,movie,,,Adventure,2013
Iron Man 3,6.929,22612,en,2013-04-18,130.0,200000000.0,1215577205.0,movie,,,Science Fiction,2013
Winter Spring Summer or Fall,7.292,137,en,2024-12-27,97.0,0.0,0.0,movie,,,Romance,2024
Winter Spring Summer or Fall,7.292,137,en,2024-12-27,97.0,0.0,0.0,movie,,,Comedy,2024
Winter Spring Summer or Fall,7.292,137,en,2024-12-27,97.0,0.0,0.0,movie,,,Drama,2024
Cars 2,6.153,8042,en,2011-06-11,106.0,200000000.0,559852396.0,movie,,,Animation,2011
Cars 2,6.153,8042,en,2011-06-11,106.0,200000000.0,559852396.0,movie,,,Family,2011
Cars 2,6.153,8042,en,2011-06-11,106.0,200000000.0,559852396.0,movie,,,Adventure,2011
Cars 2,6.153,8042,en,2011-06-11,106.0,200000000.0,559852396.0,movie,,,Comedy,2011
White Chicks,6.929,4185,en,2004-06-23,109.0,37000000.0,113100000.0,movie,,,Comedy,2004
White Chicks,6.929,4185,en,2004-06-23,109.0,37000000.0,113100000.0,movie,,,Crime,2004
Palmer,8.131,1753,en,2021-01-28,110.0,0.0,0.0,movie,,,Drama,2021
Twisters,6.83,2507,en,2024-07-10,123.0,155000000.0,372262265.0,movie,,,Action,2024
Twisters,6.83,2507,en,2024-07-10,123.0,155000000.0,372262265.0,movie,,,Thriller,2024
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Action,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Adventure,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Animation,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Family,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Comedy,2008
From the Shadows,4.083,6,en,2023-09-22,88.0,0.0,0.0,movie,,,Thriller,2023
From the Shadows,4.083,6,en,2023-09-22,88.0,0.0,0.0,movie,,,Science Fiction,2023
From the Shadows,4.083,6,en,2023-09-22,88.0,0.0,0.0,movie,,,Horror,2023
White Chicks,6.929,4185,en,2004-06-23,109.0,37000000.0,113100000.0,movie,,,Comedy,2004
White Chicks,6.929,4185,en,2004-06-23,109.0,37000000.0,113100000.0,movie,,,Crime,2004
Palmer,8.131,1753,en,2021-01-28,110.0,0.0,0.0,movie,,,Drama,2021
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Action,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Adventure,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Animation,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Family,2008
Kung Fu Panda,7.301,11962,en,2008-06-04,90.0,130000000.0,632091832.0,movie,,,Comedy,2008
From the Shadows,4.083,6,en,2023-09-22,88.0,0.0,0.0,movie,,,Thriller,2023
From the Shadows,4.083,6,en,2023-09-22,88.0,0.0,0.0,movie,,,Science Fiction,2023
From the Shadows,4.083,6,en,2023-09-22,88.0,0.0,0.0,movie,,,Horror,2023
The Intouchables,8.273,17669,fr,2011-11-02,113.0,13000000.0,426590315.0,movie,,,Drama,2011
The Intouchables,8.273,17669,fr,2011-11-02,113.0,13000000.0,426590315.0,movie,,,Comedy,2011
Bad Influence,5.648,182,es,2025-01-24,106.0,0.0,0.0,movie,,,Thriller,2025
Bad Influence,5.648,182,es,2025-01-24,106.0,0.0,0.0,movie,,,Drama,2025
Bad Influence,5.648,182,es,2025-01-24,106.0,0.0,0.0,movie,,,Romance,2025
Toy Story 3,7.8,15010,en,2010-06-16,103.0,200000000.0,1067316101.0,movie,,,Animation,2010
Toy Story 3,7.8,15010,en,2010-06-16,103.0,200000000.0,1067316101.0,movie,,,Family,2010
Toy Story 3,7.8,15010,en,2010-06-16,103.0,200000000.0,1067316101.0,movie,,,Comedy,2010
Uma & Haggen,8.75,4,es,2024-01-04,85.0,0.0,0.0,movie,,,Animation,2024
Uma & Haggen,8.75,4,es,2024-01-04,85.0,0.0,0.0,movie,,,Family,2024
